section,section_type,scenario,variant,year,slr_m,return_period_yr,closures_per_year,closure_days_yr,at_cap
Tagus / Tejo Floodplain (km 37–47),railway,SSP1-2.6,Baseline,2030,0.07,6.156,0.162,0.6,False
Tagus / Tejo Floodplain (km 37–47),railway,SSP1-2.6,Baseline,2050,0.2,2.5,0.4,1.7,False
Tagus / Tejo Floodplain (km 37–47),railway,SSP1-2.6,Baseline,2075,0.3,1.25,0.8,3.8,False
Tagus / Tejo Floodplain (km 37–47),railway,SSP1-2.6,Baseline,2100,0.4,0.625,1.6,8.6,False
Tagus / Tejo Floodplain (km 37–47),railway,SSP1-2.6,+Geoid,2030,0.22,2.176,0.459,2.0,False
Tagus / Tejo Floodplain (km 37–47),railway,SSP1-2.6,+Geoid,2050,0.35,0.884,1.131,5.8,False
Tagus / Tejo Floodplain (km 37–47),railway,SSP1-2.6,+Geoid,2075,0.45,0.442,2.263,12.9,False
Tagus / Tejo Floodplain (km 37–47),railway,SSP1-2.6,+Geoid,2100,0.55,0.221,4.525,28.5,False
Tagus / Tejo Floodplain (km 37–47),railway,SSP2-4.5,Baseline,2030,0.1,5.0,0.2,0.7,False
Tagus / Tejo Floodplain (km 37–47),railway,SSP2-4.5,Baseline,2050,0.3,1.25,0.8,3.8,False
Tagus / Tejo Floodplain (km 37–47),railway,SSP2-4.5,Baseline,2075,0.45,0.442,2.263,12.9,False
Tagus / Tejo Floodplain (km 37–47),railway,SSP2-4.5,Baseline,2100,0.6,0.156,6.4,42.2,False
Tagus / Tejo Floodplain (km 37–47),railway,SSP2-4.5,+Geoid,2030,0.25,1.768,0.566,2.5,False
Tagus / Tejo Floodplain (km 37–47),railway,SSP2-4.5,+Geoid,2050,0.45,0.442,2.263,12.9,False
Tagus / Tejo Floodplain (km 37–47),railway,SSP2-4.5,+Geoid,2075,0.6,0.156,6.4,42.2,False
Tagus / Tejo Floodplain (km 37–47),railway,SSP2-4.5,+Geoid,2100,0.75,0.055,18.102,135.8,False
Tagus / Tejo Floodplain (km 37–47),railway,SSP5-8.5,Baseline,2030,0.13,4.061,0.246,0.9,False
Tagus / Tejo Floodplain (km 37–47),railway,SSP5-8.5,Baseline,2050,0.4,0.625,1.6,8.6,False
Tagus / Tejo Floodplain (km 37–47),railway,SSP5-8.5,Baseline,2075,0.7,0.078,12.8,92.2,False
Tagus / Tejo Floodplain (km 37–47),railway,SSP5-8.5,Baseline,2100,1.0,0.01,102.4,365.0,True
Tagus / Tejo Floodplain (km 37–47),railway,SSP5-8.5,+Geoid,2030,0.28,1.436,0.696,3.3,False
Tagus / Tejo Floodplain (km 37–47),railway,SSP5-8.5,+Geoid,2050,0.55,0.221,4.525,28.5,False
Tagus / Tejo Floodplain (km 37–47),railway,SSP5-8.5,+Geoid,2075,0.85,0.028,36.204,293.3,False
Tagus / Tejo Floodplain (km 37–47),railway,SSP5-8.5,+Geoid,2100,1.15,0.003,289.631,365.0,True
