option,option_type,scenario,variant,cost_case,invest_eur,breakeven_year,note
Option 1: Approach Road Raising (+0.50m embankment),slr_buffer,SSP1-2.6,Baseline,Low,15000000,2046,Raises road surface ~0.50m; armoured embankment + drainage upgrade
Option 1: Approach Road Raising (+0.50m embankment),slr_buffer,SSP1-2.6,Baseline,Mid,22000000,2052,Raises road surface ~0.50m; armoured embankment + drainage upgrade
Option 1: Approach Road Raising (+0.50m embankment),slr_buffer,SSP1-2.6,Baseline,High,30000000,2057,Raises road surface ~0.50m; armoured embankment + drainage upgrade
Option 1: Approach Road Raising (+0.50m embankment),slr_buffer,SSP1-2.6,+Geoid,Low,15000000,2033,Raises road surface ~0.50m; armoured embankment + drainage upgrade
Option 1: Approach Road Raising (+0.50m embankment),slr_buffer,SSP1-2.6,+Geoid,Mid,22000000,2037,Raises road surface ~0.50m; armoured embankment + drainage upgrade
Option 1: Approach Road Raising (+0.50m embankment),slr_buffer,SSP1-2.6,+Geoid,High,30000000,2040,Raises road surface ~0.50m; armoured embankment + drainage upgrade
Option 1: Approach Road Raising (+0.50m embankment),slr_buffer,SSP2-4.5,Baseline,Low,15000000,2042,Raises road surface ~0.50m; armoured embankment + drainage upgrade
Option 1: Approach Road Raising (+0.50m embankment),slr_buffer,SSP2-4.5,Baseline,Mid,22000000,2045,Raises road surface ~0.50m; armoured embankment + drainage upgrade
Option 1: Approach Road Raising (+0.50m embankment),slr_buffer,SSP2-4.5,Baseline,High,30000000,2049,Raises road surface ~0.50m; armoured embankment + drainage upgrade
Option 1: Approach Road Raising (+0.50m embankment),slr_buffer,SSP2-4.5,+Geoid,Low,15000000,2032,Raises road surface ~0.50m; armoured embankment + drainage upgrade
Option 1: Approach Road Raising (+0.50m embankment),slr_buffer,SSP2-4.5,+Geoid,Mid,22000000,2034,Raises road surface ~0.50m; armoured embankment + drainage upgrade
Option 1: Approach Road Raising (+0.50m embankment),slr_buffer,SSP2-4.5,+Geoid,High,30000000,2037,Raises road surface ~0.50m; armoured embankment + drainage upgrade
Option 1: Approach Road Raising (+0.50m embankment),slr_buffer,SSP5-8.5,Baseline,Low,15000000,2039,Raises road surface ~0.50m; armoured embankment + drainage upgrade
Option 1: Approach Road Raising (+0.50m embankment),slr_buffer,SSP5-8.5,Baseline,Mid,22000000,2042,Raises road surface ~0.50m; armoured embankment + drainage upgrade
Option 1: Approach Road Raising (+0.50m embankment),slr_buffer,SSP5-8.5,Baseline,High,30000000,2044,Raises road surface ~0.50m; armoured embankment + drainage upgrade
Option 1: Approach Road Raising (+0.50m embankment),slr_buffer,SSP5-8.5,+Geoid,Low,15000000,2031,Raises road surface ~0.50m; armoured embankment + drainage upgrade
Option 1: Approach Road Raising (+0.50m embankment),slr_buffer,SSP5-8.5,+Geoid,Mid,22000000,2033,Raises road surface ~0.50m; armoured embankment + drainage upgrade
Option 1: Approach Road Raising (+0.50m embankment),slr_buffer,SSP5-8.5,+Geoid,High,30000000,2035,Raises road surface ~0.50m; armoured embankment + drainage upgrade
Option 2: Tidal Flood Gates + Pumping Station,slr_buffer,SSP1-2.6,Baseline,Low,28000000,2056,Active tidal gate at lowest approach point; effective SLR buffer +0.40m
Option 2: Tidal Flood Gates + Pumping Station,slr_buffer,SSP1-2.6,Baseline,Mid,42000000,2063,Active tidal gate at lowest approach point; effective SLR buffer +0.40m
Option 2: Tidal Flood Gates + Pumping Station,slr_buffer,SSP1-2.6,Baseline,High,60000000,2070,Active tidal gate at lowest approach point; effective SLR buffer +0.40m
Option 2: Tidal Flood Gates + Pumping Station,slr_buffer,SSP1-2.6,+Geoid,Low,28000000,2039,Active tidal gate at lowest approach point; effective SLR buffer +0.40m
Option 2: Tidal Flood Gates + Pumping Station,slr_buffer,SSP1-2.6,+Geoid,Mid,42000000,2044,Active tidal gate at lowest approach point; effective SLR buffer +0.40m
Option 2: Tidal Flood Gates + Pumping Station,slr_buffer,SSP1-2.6,+Geoid,High,60000000,2048,Active tidal gate at lowest approach point; effective SLR buffer +0.40m
Option 2: Tidal Flood Gates + Pumping Station,slr_buffer,SSP2-4.5,Baseline,Low,28000000,2048,Active tidal gate at lowest approach point; effective SLR buffer +0.40m
Option 2: Tidal Flood Gates + Pumping Station,slr_buffer,SSP2-4.5,Baseline,Mid,42000000,2052,Active tidal gate at lowest approach point; effective SLR buffer +0.40m
Option 2: Tidal Flood Gates + Pumping Station,slr_buffer,SSP2-4.5,Baseline,High,60000000,2057,Active tidal gate at lowest approach point; effective SLR buffer +0.40m
