scenario,variant,year,slr_m,days_yr,annual_low_eur,annual_mid_eur,annual_high_eur,cumul_low_bn,cumul_mid_bn,cumul_high_bn,permanent
SSP1-2.6,Baseline,2024,0.028,0.32,160274,320547,641095,0.0002,0.0003,0.0006,False
SSP1-2.6,Baseline,2025,0.035,0.34,170472,340945,681890,0.0003,0.0007,0.0013,False
SSP1-2.6,Baseline,2026,0.042,0.36,181289,362578,725157,0.0005,0.001,0.002,False
SSP1-2.6,Baseline,2027,0.049,0.39,192760,385520,771040,0.0007,0.0014,0.0028,False
SSP1-2.6,Baseline,2028,0.056,0.41,204923,409847,819694,0.0009,0.0018,0.0036,False
SSP1-2.6,Baseline,2029,0.063,0.44,217820,435640,871279,0.0011,0.0023,0.0045,False
SSP1-2.6,Baseline,2030,0.07,0.46,231492,462984,925968,0.0014,0.0027,0.0054,False
SSP1-2.6,Baseline,2031,0.077,0.49,244922,489843,979687,0.0016,0.0032,0.0064,False
SSP1-2.6,Baseline,2032,0.083,0.52,259098,518195,1036391,0.0019,0.0037,0.0075,False
SSP1-2.6,Baseline,2033,0.09,0.55,274060,548120,1096240,0.0021,0.0043,0.0085,False
SSP1-2.6,Baseline,2034,0.096,0.58,289851,579702,1159405,0.0024,0.0049,0.0097,False
SSP1-2.6,Baseline,2035,0.103,0.61,306516,613032,1226063,0.0027,0.0055,0.0109,False
SSP1-2.6,Baseline,2036,0.109,0.65,324101,648201,1296403,0.0031,0.0061,0.0122,False
SSP1-2.6,Baseline,2037,0.116,0.69,342656,685311,1370622,0.0034,0.0068,0.0136,False
SSP1-2.6,Baseline,2038,0.122,0.72,362232,724464,1448929,0.0038,0.0075,0.015,False
SSP1-2.6,Baseline,2039,0.129,0.77,382885,765771,1531542,0.0041,0.0083,0.0166,False
SSP1-2.6,Baseline,2040,0.135,0.81,404673,809346,1618692,0.0046,0.0091,0.0182,False
SSP1-2.6,Baseline,2041,0.142,0.86,427656,855311,1710622,0.005,0.01,0.0199,False
SSP1-2.6,Baseline,2042,0.148,0.9,451897,903794,1807588,0.0054,0.0109,0.0217,False
SSP1-2.6,Baseline,2043,0.155,0.95,477464,954929,1909858,0.0059,0.0118,0.0236,False
SSP1-2.6,Baseline,2044,0.161,1.01,504429,1008857,2017715,0.0064,0.0128,0.0256,False
SSP1-2.6,Baseline,2045,0.168,1.07,532864,1065728,2131457,0.0069,0.0139,0.0278,False
SSP1-2.6,Baseline,2046,0.174,1.13,562849,1125699,2251397,0.0075,0.015,0.03,False
SSP1-2.6,Baseline,2047,0.18,1.19,594466,1188933,2377865,0.0081,0.0162,0.0324,False
SSP1-2.6,Baseline,2048,0.187,1.26,627802,1255604,2511209,0.0087,0.0175,0.0349,False
SSP1-2.6,Baseline,2049,0.194,1.33,662948,1325896,2651792,0.0094,0.0188,0.0376,False
SSP1-2.6,Baseline,2050,0.2,1.4,700000,1400000,2800000,0.0101,0.0202,0.0404,False
SSP1-2.6,Baseline,2051,0.204,1.45,723792,1447584,2895169,0.0108,0.0216,0.0433,False
SSP1-2.6,Baseline,2052,0.208,1.5,748369,1496738,2993475,0.0116,0.0231,0.0463,False
SSP1-2.6,Baseline,2053,0.212,1.55,773755,1547510,3095021,0.0123,0.0247,0.0494,False
SSP1-2.6,Baseline,2054,0.216,1.6,799978,1599955,3199910,0.0131,0.0263,0.0526,False
SSP1-2.6,Baseline,2055,0.22,1.65,827063,1654126,3308251,0.014,0.0279,0.0559,False
SSP1-2.6,Baseline,2056,0.224,1.71,855039,1710077,3420155,0.0148,0.0296,0.0593,False
SSP1-2.6,Baseline,2057,0.228,1.77,883934,1767868,3535736,0.0157,0.0314,0.0628,False
SSP1-2.6,Baseline,2058,0.232,1.83,913778,1827556,3655112,0.0166,0.0332,0.0665,False
SSP1-2.6,Baseline,2059,0.236,1.89,944601,1889203,3778406,0.0176,0.0351,0.0703,False
SSP1-2.6,Baseline,2060,0.24,1.95,976436,1952872,3905743,0.0185,0.0371,0.0742,False
SSP1-2.6,Baseline,2061,0.244,2.02,1009314,2018627,4037254,0.0195,0.0391,0.0782,False
SSP1-2.6,Baseline,2062,0.248,2.09,1043268,2086537,4173073,0.0206,0.0412,0.0824,False
SSP1-2.6,Baseline,2063,0.252,2.16,1078334,2156669,4313337,0.0217,0.0433,0.0867,False
SSP1-2.6,Baseline,2064,0.256,2.23,1114548,2229095,4458190,0.0228,0.0456,0.0911,False
SSP1-2.6,Baseline,2065,0.26,2.3,1151945,2303889,4607778,0.0239,0.0479,0.0957,False
SSP1-2.6,Baseline,2066,0.264,2.38,1190563,2381127,4762254,0.0251,0.0503,0.1005,False
SSP1-2.6,Baseline,2067,0.268,2.46,1230443,2460887,4921773,0.0264,0.0527,0.1054,False
SSP1-2.6,Baseline,2068,0.272,2.54,1271625,2543249,5086498,0.0276,0.0553,0.1105,False
SSP1-2.6,Baseline,2069,0.276,2.63,1314149,2628297,5256595,0.0289,0.0579,0.1158,False
SSP1-2.6,Baseline,2070,0.28,2.72,1358059,2716118,5432236,0.0303,0.0606,0.1212,False
SSP1-2.6,Baseline,2071,0.284,2.81,1403399,2806799,5613597,0.0317,0.0634,0.1268,False
SSP1-2.6,Baseline,2072,0.288,2.9,1450216,2900431,5800863,0.0332,0.0663,0.1326,False
