scenario,variant,year,slr_m,rp_yr,days_yr,permanent,flag
SSP1-2.6,Baseline,2030,0.07,4.92,0.5,False,
SSP1-2.6,Baseline,2050,0.2,2.0,1.4,False,
SSP1-2.6,Baseline,2075,0.3,1.0,3.2,False,
SSP1-2.6,Baseline,2100,0.4,0.5,7.2,False,
SSP1-2.6,+Geoid,2030,0.22,1.74,1.7,False,
SSP1-2.6,+Geoid,2050,0.35,0.71,4.8,False,
SSP1-2.6,+Geoid,2075,0.45,0.35,10.7,False,
SSP1-2.6,+Geoid,2100,0.55,0.18,23.8,False,
SSP2-4.5,Baseline,2030,0.1,4.0,0.6,False,
SSP2-4.5,Baseline,2050,0.3,1.0,3.2,False,
SSP2-4.5,Baseline,2075,0.45,0.35,10.7,False,
SSP2-4.5,Baseline,2100,0.6,0.13,35.2,False,
SSP2-4.5,+Geoid,2030,0.25,1.41,2.1,False,
SSP2-4.5,+Geoid,2050,0.45,0.35,10.7,False,
SSP2-4.5,+Geoid,2075,0.6,0.13,35.2,False,
SSP2-4.5,+Geoid,2100,0.75,0.04,113.1,False,
SSP5-8.5,Baseline,2030,0.13,3.25,0.8,False,
SSP5-8.5,Baseline,2050,0.4,0.5,7.2,False,
SSP5-8.5,Baseline,2075,0.7,0.06,76.8,False,
SSP5-8.5,Baseline,2100,1.0,0.01,365.0,False,⚠ CAP
SSP5-8.5,+Geoid,2030,0.28,1.15,2.7,False,
SSP5-8.5,+Geoid,2050,0.55,0.18,23.8,False,
SSP5-8.5,+Geoid,2075,0.85,0.02,244.4,False,
SSP5-8.5,+Geoid,2100,1.15,0.0,365.0,False,⚠ CAP
